EmployeeID,FullName,FirstName,LastName,Email,Gender,DateOfBirth,Age,HireDate,TerminationDate,IsActive,YearsAtCompany,DepartmentID,JobRoleID,LocationID,EducationID,ManagerID
1,Zain El-Omari,Zain,El-Omari,zain.el-omari@hotmail.com,Male,1983-03-26,,2017-12-18,,1,,5,2,3,1,
2,Jamila Iskander,Jamila,Iskander,jamila.iskander@hotmail.com,Female,1992-10-01,,2024-07-01,,1,,4,2,1,1,
3,Walid Henein,Walid,Henein,walid.henein@gmail.com,Male,1994-07-14,,2020-09-19,,0,,5,4,1,2,
4,Ghina Hafez,Ghina,Hafez,ghina.hafez@icloud.com,Female,1988-10-02,,2024-11-02,,0,,2,3,4,2,
5,Amira Faragallah,Amira,Faragallah,amira.faragallah@icloud.com,Female,1997-11-26,,2025-11-22,,1,,1,4,4,3,
6,Raneem Hefny,Raneem,Hefny,raneem.hefny@gmail.com,Female,1997-06-19,,2024-06-22,,0,,2,1,4,2,
7,Nagwa Qandil,Nagwa,Qandil,nagwa.qandil@yahoo.com,Female,2000-08-17,,2022-12-09,2023-03-15,1,,5,5,3,1,
8,Abdullah Rizk,Abdullah,Rizk,abdullah.rizk@outlook.com,Male,1983-04-16,,2024-08-28,2025-04-06,0,,3,4,1,3,
9,Reda Moftah,Reda,Moftah,reda.moftah@gmail.com,Male,1980-06-15,,2022-08-05,,1,,3,1,3,3,
10,Nader Dawoud,Nader,Dawoud,nader.dawoud@yahoo.com,Male,1981-07-17,,2018-11-15,,0,,5,4,1,2,
11,Hoda Tawfik,Hoda,Tawfik,hoda.tawfik@icloud.com,Female,1987-09-17,,2022-01-03,,0,,5,2,1,2,
12,Mazen El-Alfi,Mazen,El-Alfi,mazen.el-alfi@icloud.com,Male,1987-01-28,,2019-10-23,,1,,5,2,2,3,
13,Walid El-Hennawy,Walid,El-Hennawy,walid.el-hennawy@hotmail.com,Male,1992-04-01,,2024-11-21,,1,,2,2,3,2,
14,Abdellatif Elhennawy,Abdellatif,Elhennawy,abdellatif.elhennawy@yahoo.com,Male,1984-04-11,,2024-03-28,,0,,2,1,2,3,
15,Naguib Kyrollos,Naguib,Kyrollos,naguib.kyrollos@outlook.com,Male,1997-11-27,,2025-11-09,,1,,4,4,1,3,
16,Hossam Ragab,Hossam,Ragab,hossam.ragab@outlook.com,Male,1993-02-16,,2022-02-16,,0,,3,2,1,1,
17,Essam Hussein,Essam,Hussein,essam.hussein@yahoo.com,Male,1993-06-03,,2025-01-25,,1,,2,4,3,1,
18,Youssef El-Wakil,Youssef,El-Wakil,youssef.el-wakil@icloud.com,Male,1984-04-10,,2025-12-08,,1,,2,1,3,3,
19,Essam Butros,Essam,Butros,essam.butros@icloud.com,Male,2000-11-19,,2022-10-21,,1,,4,2,4,3,
20,Rahaf Zeidan,Rahaf,Zeidan,rahaf.zeidan@icloud.com,Female,1984-08-20,,2019-12-05,2020-06-23,1,,3,4,4,1,
21,Nadia Hanna,Nadia,Hanna,nadia.hanna@outlook.com,Female,1985-05-08,,2019-03-15,,1,,5,5,2,1,
22,Yasin Masoud,Yasin,Masoud,yasin.masoud@outlook.com,Male,1998-03-08,,2025-07-04,,1,,3,2,3,1,
23,Enas Elsheikh,Enas,Elsheikh,enas.elsheikh@hotmail.com,Female,1988-07-05,,2023-12-01,,0,,4,4,2,3,
24,Abdelhamid Naeem,Abdelhamid,Naeem,abdelhamid.naeem@yahoo.com,Male,1995-10-09,,2018-02-03,,1,,4,3,3,2,
25,Yasser Elmansy,Yasser,Elmansy,yasser.elmansy@yahoo.com,Male,1980-05-04,,2018-07-09,,1,,1,4,4,2,
26,Yasser El-Messiry,Yasser,El-Messiry,yasser.el-messiry@gmail.com,Male,1987-08-26,,2018-02-25,,1,,3,4,3,3,
27,Heba Ahmed,Heba,Ahmed,heba.ahmed@outlook.com,Female,1991-09-21,,2019-04-20,,0,,3,1,1,3,
28,Salam Zidan,Salam,Zidan,salam.zidan@icloud.com,Male,1985-03-21,,2021-11-26,,1,,4,5,4,3,
29,Sara Abdelhakim,Sara,Abdelhakim,sara.abdelhakim@icloud.com,Female,1996-09-04,,2019-07-15,2023-11-05,1,,3,2,1,3,
30,Menna Dawoud,Menna,Dawoud,menna.dawoud@gmail.com,Female,1999-03-08,,2016-03-06,,1,,4,5,2,2,
31,Yehia Abdelkareem,Yehia,Abdelkareem,yehia.abdelkareem@outlook.com,Male,1999-03-19,,2020-06-20,,1,,1,5,3,1,
32,Amina Kyrollos,Amina,Kyrollos,amina.kyrollos@gmail.com,Female,1984-11-25,,2017-11-21,,0,,4,4,4,2,
33,Rahma El-Rashidy,Rahma,El-Rashidy,rahma.el-rashidy@hotmail.com,Female,1992-02-06,,2024-02-15,,0,,1,1,2,3,
34,Mariam Elkhouly,Mariam,Elkhouly,mariam.elkhouly@yahoo.com,Female,1989-02-13,,2016-01-11,,1,,5,4,4,2,
35,Naguib Elbesh,Naguib,Elbesh,naguib.elbesh@gmail.com,Male,1995-05-18,,2023-05-27,,1,,2,3,2,3,
36,Eman Abdelhameed,Eman,Abdelhameed,eman.abdelhameed@yahoo.com,Female,1997-02-20,,2019-11-03,,1,,3,3,3,1,
37,Sahar Youssef,Sahar,Youssef,sahar.youssef@hotmail.com,Female,1986-04-15,,2016-05-24,,0,,3,4,3,3,
38,Saad Nashed,Saad,Nashed,saad.nashed@hotmail.com,Male,1996-10-04,,2024-07-07,,1,,3,5,4,1,
