AgentID,FirstName,LastName,PhoneNumber,Email,AgencyName,LicenseNumber,HireDate,CommissionRate,Region,PerformanceRating,ActiveStatus,BranchID
1,Molly,Sawyer,(766) 270-2895,dgarcia@bowen.com,Harrison LLC,58329500,2023-08-24,0.061,FL,4,1,48
2,Christina,Young,(961) 586-5780,wendy16@hodges.com,Jackson-Evans,39598076,2016-09-25,0.1037,PA,3,1,25
3,Robert,Maldonado,(050) 455-6238,georgemiller@harvey-allen.org,Hall Ltd,10779751,2011-06-20,0.1125,NC,5,1,28
4,Vanessa,Evans,(740) 748-2175,dvaughn@gonzalez-cruz.info,Young PLC,75750309,2015-04-19,0.1379,PA,2,0,24
5,Julie,Wall,(944) 064-0909,kimberly39@robinson-lee.com,"Campos, Saunders and Becker",90407714,2017-01-30,0.105,PA,5,1,37
6,Mark,Perry,(104) 709-5214,davidryan@schmidt-mcintyre.com,Sloan-Raymond,99767363,2013-04-20,0.14,GA,1,1,28
7,Christopher,Foster,(451) 712-3685,amanda75@curry.com,Leonard Group,35220629,2024-09-11,0.136,TX,5,1,5
8,Donald,Shah,(985) 931-7461,wendy11@clay.biz,Watson-Avery,45785244,2011-05-27,0.0594,OH,3,1,43
9,Antonio,Wood,(869) 261-7964,pwallace@garcia-jennings.net,"Howard, Sanders and Lopez",80660781,2022-10-28,0.0692,NC,4,1,30
10,Jamie,Gallegos,(713) 900-5329,brendali@murphy.org,Ramirez and Sons,22948509,2013-01-20,0.1336,TX,2,1,12
11,Mario,Thompson,(842) 102-0539,martinezrobert@reese.info,Palmer-Rodriguez,48910397,2013-03-09,0.0785,NC,4,1,32
12,Ronald,Rodriguez,(390) 847-0076,fjones@franklin-jones.com,"Schultz, Kelley and Nguyen",20703049,2019-07-19,0.1031,CA,5,0,19
13,Russell,Beasley,(847) 896-1183,dmorgan@perry-davis.biz,Ortega-Brooks,00849550,2021-02-20,0.0582,MI,5,1,12
14,Brian,Frye,(711) 116-1528,elizabeth65@pugh.com,Burke-Bell,27236237,2013-07-28,0.0573,GA,5,1,17
15,Kathryn,Andrews,(832) 731-5851,xbruce@austin.com,White Ltd,02298831,2020-10-22,0.1334,PA,5,1,7
16,Joyce,Bonilla,(455) 022-9612,reesejason@chavez-moore.com,"Nguyen, Pugh and Carlson",56591828,2023-12-12,0.1242,FL,3,1,42
17,Scott,Nelson,(229) 014-7679,reeddaniel@gregory.com,Foster PLC,72624980,2011-11-14,0.0924,PA,1,0,14
18,Tyler,Jordan,(034) 324-4510,omarpadilla@hansen.biz,"Williams, Smith and Morse",19147519,2011-11-28,0.1191,FL,5,0,50
19,Tammy,Jackson,(596) 966-4160,xcollier@kim.com,Chapman-Warren,51138788,2025-08-22,0.071,NY,1,1,24
20,James,Parsons,(453) 521-8188,jessica23@thomas.com,"Hernandez, Malone and Jones",84619898,2017-09-16,0.1381,CA,2,1,36
21,Scott,Harrison,(779) 979-9552,laura90@romero-collins.info,Brown LLC,74672173,2024-02-15,0.0539,GA,2,1,22
22,Regina,Armstrong,(199) 867-9807,marcalvarez@rosario.com,Haas-Miller,38826320,2012-04-12,0.1273,IL,5,1,30
