AutoDetailID,PolicyID,VehicleMake,VehicleModel,VehicleYear,VIN,LicensePlate,DriverLicenseNumber,Mileage,UsageType,GarageAddress,SafetyFeatures
1,7,Kia,Cost,2010,1PCZHTZ5NXO96I05I,768-AYT,,130999,Personal,,
2,8,Volkswagen,Energy,2025,4EU9PPDBE4LSTADDK,9EQ N20,,68359,Commercial,,
3,13,Hyundai,Eye,2017,E5DBRORSBLA8VR2BD,HUD 196,,131581,Personal,,
4,14,BMW,Particularly,2018,1P7PIC0CV98M4XKVH,ZVL 437,,58480,Personal,,
5,16,Nissan,Myself,2021,G918H6EEHVP7KB1CL,QWA-8624,,10878,Commercial,,
6,21,Hyundai,President,2012,2PMV00WIBIIRKYMJV,H77 3DM,,94033,Commercial,,
7,30,Volkswagen,Good,2019,UW0WQBZO9A8B1RW5O,HXQ 421,,114281,Personal,,
8,31,Kia,Seek,2012,S5T6JIZ0VKD7ZIRAF,SX-1054,,94393,Personal,,
9,33,Volkswagen,Research,2011,CT1P374BBX9G3GIHD,EYV1872,,104839,Personal,,
10,36,Mercedes,Interest,2010,5MQTYIDEGNWWJRZI0,6G 9J3MKS,,138768,Commercial,,
11,43,Toyota,Congress,2015,VE0L1G2293H8GL044,585 MED,,144359,Personal,,
12,44,Volkswagen,Personal,2014,Z0AVELB20UOS9CYQA,5K TE488,,69653,Personal,,
13,45,Chevrolet,Likely,2019,WUJQHL2GQAPUZ7KAG,103 KCV,,74270,Commercial,,
14,49,Kia,Every,2023,PZLSC2FWNNZ0YI5H3,859 KD7,,80661,Commercial,,
15,58,Hyundai,Glass,2012,EIQ9X5K0KFK6USADE,ZHJ 728,,113031,Personal,,
16,59,Chevrolet,Inside,2019,RO055YUAZ2IQQDH3I,9394 GJ,,55929,Commercial,,
17,60,Kia,Method,2019,52VNS5MG2VZA133R6,ORW 192,,78901,Personal,,
18,62,Kia,Another,2019,6ZX8TO6TJDN3T5DWH,259616,,108492,Commercial,,
19,71,Chevrolet,Grow,2022,Z87AAUA7LUR9ABW3W,8FD 507,,49516,Commercial,,
20,73,Ford,Stop,2023,KSRT1UXEPA1OEISPS,7068 TB,,29965,Commercial,,
21,74,Ford,Tonight,2011,HXUGXR8M40OVNAV0M,RWE 006,,77353,Commercial,,
22,76,Kia,Reveal,2018,EDETXLB4S24CYJJUG,B87-BCB,,123783,Personal,,
23,77,Mercedes,Community,2025,FQAVY080FU6SKU70A,EOD 682,,42363,Commercial,,
24,78,Toyota,Forget,2016,H0QRBWXPHE81YYRN9,755 AQ7,,84917,Personal,,
25,80,Mercedes,Long,2016,NRM2TVPXGU16S4J0V,7YW9370,,30071,Personal,,
26,90,Nissan,Ago,2010,II0DUT8I1JS2U5FA4,0FC 730,,97107,Personal,,
27,94,Mercedes,Former,2021,P214RETJ8SGKZ8DR2,H64 4GA,,98783,Commercial,,
28,96,BMW,Visit,2022,ZJISVF5H2T9YXBSRG,KOP 196,,125819,Personal,,
29,97,Kia,Must,2012,E2M01OTFAU96X6HIW,175-QTR,,29611,Personal,,
30,98,Toyota,Benefit,2025,WXI6GFNZMI5YERPI9,ZSW 173,,25623,Commercial,,
31,100,Hyundai,Good,2016,4R8WBSB6ZBBLCEZ0C,68H R38,,83523,Commercial,,
32,101,Volkswagen,Benefit,2011,EHDJUPN093F1U7BGA,373 3952,,60666,Personal,,
33,102,BMW,Develop,2025,RGTKDWHEFD69CXVBD,350-UAR,,28098,Commercial,,
34,106,Mercedes,Important,2011,YOK8XD1AZEQ6M0Y3O,770-TBW,,118578,Personal,,
35,108,Toyota,Yourself,2012,7NT5HZP3KDH87DE1X,JR5 K2R,,76900,Personal,,
36,110,Mercedes,Poor,2018,GOW0GTB85FCQVYGE6,H77-54P,,82750,Personal,,
37,120,Nissan,Should,2017,G5DA5FJNJ7N3TY8HR,8986,,44260,Personal,,
38,123,Mercedes,Force,2018,C9DEOOFTX1DEGGAQE,6VQ9186,,104228,Commercial,,
39,128,Nissan,People,2025,1CRMEINDE817F41LE,VII-140,,40226,Commercial,,
40,129,Nissan,Remember,2017,4R3I8PT6U8792T2X2,023-WAK,,26935,Personal,,
41,131,Kia,Artist,2013,EKOITA3AI34ULD84F,5AY36,,9003,Personal,,
42,138,BMW,Detail,2017,I7532NLEFHM7M6X9B,896 XTN,,144706,Personal,,
43,139,Nissan,Notice,2019,YSABC4HCSSZ8OK1DP,763YG,,119494,Commercial,,
44,141,Nissan,Let,2014,ABOMNYP4NXO94EZ7N,9L-CJCW,,76397,Commercial,,
45,143,Kia,Them,2021,IWAMU813QRTO6JITH,6QD 713,,24528,Commercial,,
46,144,Chevrolet,Stand,2024,DA8H5862D2SHRN45A,415 CFQ,,143965,Commercial,,
47,145,Honda,Cause,2010,94CXR6544A3W3SUC0,SG 85369,,39330,Personal,,
48,146,Ford,Likely,2021,28P89RKEMQK3JP5ZZ,9M TX458,,28023,Commercial,,
49,148,Hyundai,Lay,2016,TKVAGLV5T4P3YN4KT,65M-OVZM,,69399,Personal,,
50,150,Kia,Rather,2018,F5NWRRTC1CUUEDGBD,90F DA8,,85543,Commercial,,
51,155,Honda,President,2017,ZBPIRZ4X17NT5XFY9,073677,,18351,Commercial,,
52,157,Ford,Thought,2011,7QGJ3CT8R24MTJEYS,B36-TNZ,,107647,Commercial,,
53,158,Ford,Land,2021,NQDF6S93LJLQYHJ1B,5B 48863,,95558,Personal,,
54,159,Chevrolet,Develop,2017,4R6P5CPMQKZST1C3B,0H-NYDS,,78777,Personal,,
55,162,Chevrolet,Once,2012,4K2Z1LSJF8JHPW8GH,8S533,,15797,Commercial,,
56,163,Mercedes,Camera,2017,WLPV48TQS1EQAJHV3,31-M016,,10225,Personal,,
57,166,Hyundai,House,2020,UIGSWV1TPH3HR14YM,MXR 546,,36005,Commercial,,
58,167,Honda,Far,2019,BZNIPAQNYC4YJX3SP,M17 3MZ,,21535,Commercial,,
59,171,Nissan,Meet,2013,AA28CI9FIQVJ2TSJY,28Y R00,,122601,Personal,,
60,172,Nissan,Both,2012,96X8LFVSS54E8W4E3,E17-ZME,,81997,Personal,,
61,175,Hyundai,Board,2010,Q6I8K3MOKBL4GI9JU,6239 SW,,122543,Personal,,
62,176,Honda,Sign,2019,SS45G84XSNJDK06JU,001 JZO,,144779,Personal,,
